ID,Media,Latitude,Longitude,COMMUNE,Site_web,Support historique,logo,Annee_creation,Aire_couverture,EPCI_couverts,Thematique_principale,Groupe
1121,Maritima TV,43.407799,5.04932,Martigues,https://www.maritima.info,Télé,,,,,Informations générales,
1122,MaTélé,49.856547,3.265477,Saint-Quentin,https://www.matele.tv,Télé,,,Saint-Quentin - Hirson,,Informations générales,
1123,Mosaïk - Cristal,49.118091,7.083916,Sarreguemines,https://www.mosaik-cristal.tv,Télé,,,,,Informations générales,
1124,Mosaïk - Cristal,49.053314,7.435773,Bitche,https://www.mosaik-cristal.tv,Télé,,,,,Informations générales,
1125,Provence Azur,43.673007,7.219647,Nice,https://www.provenceazur-tv.fr/,Télé,,2017,Côte d'azur,,,
1126,Tébéo,48.386541,-4.48763,Brest,https://www.tebeo.bzh/,Télé,,2009,,,Informations générales,Groupe Le Télégramme
1127,Tébésud,47.74671,-3.360803,Lorient,https://www.tebesud.bzh/,Télé,,1998,,,Informations générales,Groupe Le Télégramme
1128,Télé Bocal,48.870415,2.380367,Paris,https://telebocal.org/,Télé,,1995,Région parisienne - Coulommiers,,Informations générales,
1129,Télé Paese,42.618882,8.932113,Santa-Reparata-di-Balagna,https://www.telepaese.corsica/,Télé,,,,,Informations générales,
1130,Télégrenoble,45.188725,5.735594,Grenoble,https://www.telegrenoble.net,Télé,,,,,Informations générales,
1131,Télénantes,47.204616,-1.560828,Nantes,https://telenantes.com/,Télé,,2005,Loire-Atlantique,,Informations générales,
1132,TL7 (Télévision Loire 7),45.440487,4.339626,Saint-Genest-Lerpt,https://www.tl7.fr/,Télé,,1994,Agglo de Saint-Etienne,,Informations générales,
1133,TLC - Télé Locale du Choletais,47.07323,-0.936687,La Séguinière,https://www.tlc-cholet.com/,Télé,,1995,Cholet - La Roche-sur-Yon - Nantes,,Informations générales,
1134,TLVA / TV2COM,48.262563,7.452478,Sélestat,https://www.tlva.fr www.tv2com.fr,Télé,,,,,Informations générales,
1135,TV 78,48.781473,2.046224,Guyancourt,https://www.tv78.com,Télé,,1992,Yvelines,,Informations générales,
1136,TV Biesheim,48.041667,7.54802,Biesheim,https://www.biesheimtv.fr,Télé,,,,,Informations générales,
1137,TV Rhuys,47.519724,-2.784247,Sarzeau,https://tvrhuys.com/,Télé,,,,,Informations générales,
1139,TV Tours Val-de-Loire,47.374936,0.697708,Tours,https://www.tvtours.fr/,Télé,,2005,Tours - Blois,,Informations générales,Groupe Nouvelle République
1140,TV Vendée,46.737863,-1.433822,Dompierre-sur-Yon,https://www.tvvendee.fr/,Télé,,,Vendée,,Informations générales,
1141,TV3V,48.936177,7.652969,Reichshoffen,https://www.tv3v.fr,Télé,,,,,Informations générales,
1142,TV7 Bordeaux,44.83792,-0.592959,Bordeaux,https://www.tv7.com,Télé,,,,,Informations générales,Groupe Sud-Ouest
1143,TV8 Mont-Blanc,45.930461,6.085005,Epagny Metz-Tessy,http://8montblanc.fr/,Télé,,,Savoie et Haute-Savoie,,Informations générales,
1144,TV8 Moselle-Est,49.189003,6.902671,Forbach,https://www.tv8.fr/,Télé,,,,,Informations générales,
1145,TVPI,43.445479,-1.577744,Bidart,https://www.tvpi.fr/,Télé,,2000,Pyrénées-Atlantiques,,Informations générales,
1146,TVR,48.114623,-1.686374,Rennes,https://www.tvr.bzh/,Télé,,,Ille-et-Vilaine,,Informations générales,
1147,Var Azur,43.124011,5.930466,Toulon,https://varazur-tv.fr/,Télé,,2017,Toulon - Hyères,,Informations générales,
1148,Vià 95 (VO News 95),49.042058,2.061481,Cergy,https://95.telif.tv/,Télé,,,,,Informations générales,
1149,vià ATV,14.61982,-61.033312,Le Lamentin,https://www.viaatv.tv,Télé,,,,,Informations générales,
1150,vià LMtv-Sarthe,48.004404,0.192576,Le Mans,https://www.vialmtv.tv,Télé,,,,,Informations générales,
1151,vià Mirabelle,49.168748,6.152349,Woippy,https://www.viamirabelle.tv,Télé,,,,,Informations générales,
1152,vià Occitanie Montpellier,43.591024,3.835521,Montpellier,https://www.viaoccitanie.tv,Télé,,2007 (tv sud),,,Informations générales,Groupe Médias du Sud
1153,vià Occitanie Pays Calatan,42.697055,2.893955,Perpignan,https://www.viaoccitanie.tv,Télé,,,,,Informations générales,Groupe Médias du Sud
1154,vià Occitanie Pays Gardois,43.836447,4.358905,Nîmes,https://www.viaoccitanie.tv,Télé,,,,,Informations générales,Groupe Médias du Sud
1155,vià Occitanie Toulouse,43.613898,1.438022,Toulouse,https://www.viaoccitanie.tv,Télé,,2017,,,Informations générales,Groupe Médias du Sud
1156,vià Vosges,48.177814,6.448093,Épinal,https://www.viavosges.tv,Télé,,,,,Informations générales,
1157,vià93,48.869697,2.457055,Montreuil,https://via93.tv/,Télé,,,,,Informations générales,
1158,Wéo Nord Pas-de-calais,50.636332,3.063665,Lille,https://www.weo.fr,Télé,,2009,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
1159,Wéo Picardie,50.636332,3.063665,Lille,https://www.weo.fr,Télé,,2009,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
1160,37 degrés,47.395338,0.675172,Tours,https://www.37degres-mag.fr/mentions-legales/,Pure-player,,,Tours agglo,,,
1161,42 Info,45.420901,4.393574,Saint-Étienne,https://42info.fr/,Pure-player,,,,,,
1162,77 info,48.974709,2.866033,Crégy-lès-Meaux,https://www.77info.fr,Pure-player,,,Seine-et-Marne,,Informations générales,
1163,94 Citoyens,48.840748,2.482157,Nogent-sur-Marne,https://94.citoyens.com/,Pure-player,,2011,Val de Marne,,,
1164,A l'Ouest,49.442832,1.101763,Rouen,https://a-louest.info/,Pure-player,,,Rouen,,Info militante,
1165,A Nous Paris,48.835765,2.273658,Paris,https://www.anousparis.fr/,Pure-player,,,,,"Culture, Loisirs",SFR Presse
1166,Actu Ouest,47.288132,-2.389996,La Baule-Escoublac,https://actuouest.fr/,Pure-player,,,Loire-atlantique,,,
1167,Actu44,47.71986,-1.377759,Châteaubriant,https://www.actu44.fr/,Pure-player,,2018,PAys de Châteaubriant,,,
1168,Agglo TV,43.640979,4.016331,Mudaison,https://agglo.tv,Pure-player,,,"Montpellier, Pays de l’Or et Pays de Lunel",,Informations générales,
1169,Angers info,47.472091,-0.55121,Angers,https://www.my-angers.info/,Pure-player,,,Agglo Angers,,Informations générales,
1170,Anonymal TV,43.526275,5.414659,Aix-en-Provence,https://www.anonymal.tv/,Pure-player,,2009,Aix-en-Provence,,Informations générales,
1171,Apostrophe45,47.908328,1.914112,Orléans,https://apostrophe45.fr/,Pure-player,,,,,,
1172,Aqui !,44.864069,-0.517006,Cenon,https://www.aqui.fr/,Pure-player,,,Nouvelle Aquitaine,,,
1173,Aveyron Digital News (ADN),43.958749,2.877672,Saint-Affrique,https://www.aveyrondigitalnews.fr/,Pure-player,,2018,Aveyron,,,
1174,Avranches FM,48.678528,-1.349306,Avranches,https://www.avranchesfm.fr/,Pure-player,,,,,Informations générales,
1175,Basse-Chaîne.info,47.47207,-0.556585,Angers,https://basse-chaine.info/,Pure-player,,,Angers,,Info militante,
1176,Basta!,48.857579,2.435652,Montreuil,https://www.bastamag.net/,Pure-player,,,,,,
1177,Big City Life,47.212185,-1.550063,Nantes,https://www.bigcitylife.fr/,Pure-player,,,Nantes,,,
1178,Bleu Tomate,43.2844,5.3826,Marseille,https://www.bleu-tomate.fr,Pure-player,,,Provence,,,
1179,Bobigny.co,48.907825,2.422088,Bobigny,https://www.bobigny.co,Pure-player,,,,,,
1180,Bondy Blog,48.899383,2.478379,Bondy,https://www.bondyblog.fr/,Pure-player,,,,,,
1181,Bonjour Pantin,48.897035,2.406679,Pantin,https://www.bonjour-pantin.fr/,Pure-player,,2016,Pantin,,"Culture, loisirs",
1182,Borny Buzz,49.11683,6.223975,Metz,https://borny.info/,Pure-player,,,,,,
1183,Boudu Toulouse,43.604248,1.454289,Toulouse,https://www.boudu-toulouse.com,Pure-player,,,Toulouse,,"Culture, Loisirs",
1184,"Boulègue, la télévision participative du 3ème",43.314029,5.383128,Marseille,https://www.youtube.com/channel/UCkVkZnHA2tR8F-3BhQ3xmMA/videos,Pure-player,,,Marseille (3ème arrondissement),,Informations générales,
1185,Bourrasque,48.389729,-4.487808,Brest,https://bourrasque-info.org/,Pure-player,,,Brest,,Info militante,
1186,Breizh-Info,48.277285,-3.569165,Carhaix-Plouguer,https://www.breizh-info.com/,Pure-player,,,Bretagne,,Info militante,
1187,Bretagne Bretons,48.382311,-4.487643,Brest,https://www.bretagne-bretons.fr,Pure-player,,,Bretagne,,,
1188,Canal Bastide,44.841271,0.216215,Sainte-Foy-la-Grande,https://www.coeurdebastide.com/tv-canal-bastide/,Pure-player,,,Sainte-Foy-la-Grande,,,
1189,ChalonTV.info,46.780761,4.854306,Chalon-sur-Saône,https://chalontv.info/,Pure-player,,,,,,
1190,Chartes.live,48.444152,1.48802,Chartres,https://www.chartres.live/,Pure-player,,2016,Chartres Métropole,,Informations générales,
1191,Châteaubriant actualité,47.71986,-1.377759,Châteaubriant,https://www.paysdechateaubriant.fr/,Pure-player,,,,,,
1192,Chronique du Maroni,5.052845,-54.087972,Saint-Laurent-du-Maroni,https://chronique-du-maroni.fr/,Pure-player,,,,,,
1193,Citeradio,47.366865,0.711907,Tours,https://citeradio.fr,Pure-player,,,,,,
1194,Clamecy TV,47.4595,3.518984,Clamecy,https://www.clamecytv.com/clamecy/Accueil.html,Pure-player,,,,,,
1195,Contrevues,48.840748,2.482157,Nogent-sur-Marne,https://contrevues.paris/,Pure-player,https://contrevues.paris/wp-content/uploads/2019/05/logo.png,,Grand Paris,,Informations générales,
1196,Corrèze Télévision,45.426149,1.561808,Uzerche,https://www.correzetelevision.fr/,Pure-player,,,Corrèze,,,
1197,Corse Net Infos,42.747123,9.433769,Santa-Maria-di-Lota,https://www.corsenetinfos.corsica/,Pure-player,,,Corse,,Informations générales,
1198,CRIC-Grenoble,45.18627,5.725358,Grenoble,https://cric-grenoble.info/,Pure-player,,,Grenoble,,Info militante,
1199,Curieux Live,44.857504,-0.560121,Bordeaux,https://www.curieux.live/,Pure-player,,,Nouvelle Aquitaine,,Sciences et techniques,
1200,Dailynord,50.737782,2.735086,Bailleul,https://dailynord.fr/,Pure-player,,,Nord - Pas-de-Calais,,,
1201,Dijoncter.info,47.322982,5.041742,Dijon,https://dijoncter.info/,Pure-player,,,Dijon,,Info militante,
1202,Dis-leur,43.405275,3.689828,Sète,https://dis-leur.fr/,Pure-player,,,Occitanie,,,
1203,Eco-Bretons.info,48.594142,-3.802108,Morlaix,https://www.eco-bretons.info,Pure-player,,,,,,
1204,En vie à Beziers,43.342631,3.2157,Béziers,https://www.envieabeziers.info/,Pure-player,,2014,Béziers,,,
1205,Enlarge Your Paris,48.874251,2.357251,Paris,https://enlargeyourparis.fr,Pure-player,,,,,,
1206,Epinal Info,48.069716,6.831845,Gérardmer,https://epinalinfos.fr/,Pure-player,,,,,,
1207,Et Baam,43.35571,5.481277,Allauch,https://etbaam.com/,Pure-player,,,Bouches-du-Rhône,,,
1208,Expansive,48.113844,-1.681632,Rennes,https://expansive.info/,Pure-player,,,Rennes,,Info militante,
1209,Factuel,47.247916,6.018147,Besançon,https://factuel.info,Pure-player,,,Franche-Comté,,,
1210,Fréquence Uzège,44.014091,4.406386,Uzès,https://www.frequenceuzege.com/,Pure-player,,,communauté de communes de l'Uzège,,,
1211,Gazette Sports,49.895536,2.305076,Amiens,https://gazettesports.fr/,Pure-player,,,Amiens,,Sports,
1212,Gérardmer Info,48.069716,6.831845,Gérardmer,https://gerardmerinfo.fr/,Pure-player,,,,,,
1213,Globules,49.428782,1.079943,Rouen,https://globules.com/,Pure-player,,,,,,
1214,GoMet',43.344702,5.431168,Marseille,https://www.go-met.com/,Pure-player,,,Métropole Aix-Marseille,,,
1215,Goutte d’or & vous,48.885835,2.355161,Paris,https://gouttedor-et-vous.org/,Pure-player,,,,,,
1216,Grenoble City Crunch,45.18627,5.725358,Grenoble,https://grenoble.citycrunch.fr/,Pure-player,,,Grenoble,,"Culture, Loisirs",Groupe UNAGI
1217,Grizette,43.61738,3.882161,Montpellier,https://www.grizette.com/,Pure-player,,2012,"Occitanie (Toulouse, Montpellier..)",,Féminin,
1218,Guyaweb,4.910723,-52.737962,Kourou,https://www.guyaweb.com,Pure-player,,,Guyane,,,
1219,Hapchot webradio,43.958014,-0.927866,Rion-des-Landes,https://hapchotwebradio.fr/,Pure-player,,,pays tarusate,,,
1220,Happy Bourgogne,47.310305,5.000263,Dijon,https://blog.happybourgogne.com,Pure-player,,,Bourgogne,,,
1221,IAATA,43.624268,1.441019,Toulouse,https://iaata.info/,Pure-player,,,Toulouse,,Info militante,
1222,Infos Bordeaux,44.837663,-0.579717,Bordeaux,https://www.infos-bordeaux.fr,Pure-player,,2010,Gironde,,Informations générales,
1223,Infos Dijon,46.831884,4.366229,Marmagne,https://www.infos-dijon.com/,Pure-player,,,Dijon,,,SARL BOURGOGNE-INFOS.COM
1225,Jurawebtv.com,46.661682,6.078011,Foncine-le-Haut,https://jurawebtv.com/,Pure-player,,,,,,
1226,Kaina TV,43.62607,3.817653,Montpellier,https://kaina.tv/,Pure-player,,2007,,,Informations générales,
1227,Kanaldude,43.27302,-1.375436,Bidarray,https://kanaldude.eus/,Pure-player,,,Pays basque français,,Informations générales,
1228,Kolectiv’,48.765802,0.625691,L'Aigle,https://www.kolectiv.fr/,Pure-player,,,,,,
1229,L'insatiable,48.858017,2.438707,Montreuil,https://www.linsatiable.org/,Pure-player,,,,,"Culture, loisirs",
1230,L’Eko des Quartiers,43.841677,4.367621,Nîmes,https://www.ekodesquartiers.net/,Pure-player,,,Nîmes,,,
1231,La Bogue,45.833763,1.260768,Limoges,https://labogue.info,Pure-player,,2014,Agglo de Limoges,,Info militante,
1232,La Fourmilière,48.661045,6.167138,Vandœuvre-lès-Nancy,https://fourmiliere.eu/,Pure-player,,,,,,
1233,La Gâtinaise,47.994781,2.734846,Montargis,https://lagatinaise.wixsite.com/webtv/,Pure-player,,,,,,
1234,La Lorgnette,44.932891,3.999713,Le Monastier-sur-Gazeille,https://lalorgnette.info/,Pure-player,,,,,,
1235,La nuit Magazine,43.28708,5.387537,Marseille,https://www.lanuitmagazine.com/,Pure-player,,,Marseille,,"Culture, Loisirs",
1236,La Plaine des Vosges Info,48.069716,6.831845,Gérardmer,https://laplainedesvosgesinfo.fr/,Pure-player,,,,,,
1237,La Rotative,47.391759,0.687758,Tours,https://larotative.info/,Pure-player,,,Tours,,,
1238,La Télé buissonnière,42.960482,1.609437,Foix,https://tele-buissonniere.org/,Pure-player,,,Ariège,,Informations générales / investigation,
1239,La WebTV insulaire,46.726265,-2.350217,L'Île-d'Yeu,https://www.youtube.com/channel/UCH03yL8WK0oiZy_wus_kXmw/videos,Pure-player,,2016,île d'yeu,,Informations générales,
1240,Le 28.TV,48.443418,1.498965,Chartres,https://le28.tv/,Pure-player,,,Eure-et-Loir,,Informations générales,
1241,Le Bec,44.728232,5.023564,Crest,https://www.lebec.info,Pure-player,,,Vallée de la Drôme,,Informations générales,
1242,Le Blog de Nestor,48.859436,2.442545,Montreuil,https://leblogdenestor.com,Pure-player,,2015,Montreuil,,"Culture, Loisirs",
1243,Le blog2roubaix,50.687181,3.178898,Roubaix,https://leblog2roubaix.com/,Pure-player,,,,,,
1244,Le d'Oc,43.57312,3.861273,Montpellier,https://ledoc-info.com/,Pure-player,,,Montpellier et sa région,,Informations générales / investigation,
1245,Le journal de Bécon,48.902832,2.273923,Courbevoie,https://www.lejournaldebecon.fr/,Pure-player,,,"Quartier de Bécon (à cheval sur Courbevoie, Asnières, Bois Colombes)",,Informations générales,
1246,Le Kiosque,47.265751,-0.072628,Saumur,https://www.saumur-kiosque.com,Pure-player,,,Saumur - Doué-la-Fontaine - Thouars - Loudun - Chinon - Bourgueil - Longué,,Informations générales,
1247,Le Kotidien,4.935277,-52.33169,Cayenne,https://lekotidien.fr/,Pure-player,,,Guyane,,Informations générales,
1248,Le Libero Lyon,45.762128,4.842171,Lyon,https://www.leliberolyon.fr/,Pure-player,,,Lyon,,Sports,
1249,Le Poulpe,49.431633,1.090697,Rouen,https://lepoulpe.info,Pure-player,,2019,Agglo Rouen + Normandie,,Informations générales / investigation,
1250,Le Pressoir,43.611024,3.875521,Montpellier,https://lepressoir-info.org/,Pure-player,,,Montpellier,,Info militante,
1251,Le Reporter Sablais,46.512123,-1.807182,Les Sables-d'Olonne,https://www.lereportersablais.com,Pure-player,,,Vendée,,,
1252,Le vidéographe,43.561279,6.012548,Barjols,https://www.levideographe.com,Pure-player,,2013,Barjols (et Provence verte),,Informations générales,
1253,Les Enfants du Rhône,45.7539,4.8303,Lyon,https://ledr.fr/,Pure-player,,,,,,
1254,Les infos du pays Gallo,47.854882,-2.299224,Caro,https://www.lesinfosdupaysgallo.com/,Pure-player,,,,,,
1255,Les voix de la Fensch,49.341575,6.050484,Nilvange,https://www.lesvoixdelafensch.fr/,Pure-player,,,Vallée de la Fensch,,Informations générales,
1256,Libreinfo74,45.908087,6.110832,Annecy,https://librinfo74.fr,Pure-player,,,Annecy,,Informations générales,
1257,Ligne 16,43.717112,7.284468,Nice,https://www.ligne16.net/,Pure-player,,,Quartiers Est de Nice,,Culture numérique,
1258,Lille City Crunch,50.634564,3.05344,Lille,https://lille.citycrunch.fr/,Pure-player,,,Lille,,"Culture, Loisirs",Groupe UNAGI
1259,Loreina TV,49.341575,6.050484,Nilvange,https://www.loreina.tv,Pure-player,,,Vallée de la Fensch,,Informations générales,
1260,Lumina TV,14.659097,-61.05008,Saint-Joseph,https://www.facebook.com/LaLuminaTV/,Pure-player,,,Martinique,,Informations générales,
1261,Lyon Bondy Blog,45.76872,4.832689,Lyon,https://lyonbondyblog.fr/,Pure-player,,2008,Agglo lyonnaise,,Informations générales,
1262,Lyon City Crunch,45.75209,4.84206,Lyon,https://lyon.citycrunch.fr,Pure-player,,,Lyon métropole,,"Culture, Loisirs",Groupe UNAGI
1263,Lyon Family Crunch,45.7509,4.8353,Lyon,https://lyon.familycrunch.fr,Pure-player,,,Lyon,,"Culture, Loisirs",Groupe UNAGI
1264,Ma ville solidaire,46.681283,-1.428957,La Roche-sur-Yon,https://www.mavillesolidaire.fr,Pure-player,,,,,,
1265,MaCommune.info,47.239826,6.025141,Besançon,https://www.macommune.info/,Pure-player,,2008,Grand Besançon,,,groupe FJ-Investissement
1266,Macon Infos,46.246897,4.77847,Crêches-sur-Saône,https://www.macon-infos.com,Pure-player,,,Macon,,Informations générales,
1267,Made in Marseille,43.304311,5.367733,Marseille,https://madeinmarseille.net/,Pure-player,,2014,"Marseille, Aix, Aubagne",,,
1268,Mag’Centre,47.904315,1.90535,Orléans,https://www.magcentre.fr/,Pure-player,,,,,,
1269,Mantes actu,48.989587,1.677644,Buchelay,https://www.mantes-actu.net/,Pure-player,,,,,,
1270,Marcelle,43.285846,5.360076,Marseille,https://marcelle.media/,Pure-player,,2018,Agglo de Marseille,,,
1271,Marsactu,43.292985,5.373154,Marseille,https://marsactu.fr/,Pure-player,,,Marseille,,Informations générales / investigation,
1272,Marseille Info,43.299308,5.369187,Marseille,https://marseilleinfo.com/,Pure-player,,,Marseille,,Informations générales,
1273,Marseille Infos autonomes,43.2804,5.3806,Marseille,https://mars-infos.org/,Pure-player,,,Marseille,,Info militante,
1274,Médiacités Lille,50.631564,3.05644,Lille,https://www.mediacites.fr/lille/,Pure-player,,,,,Informations générales / investigation,
1275,Médiacités Lyon,45.751704,4.842398,Lyon,https://www.mediacites.fr/lyon/,Pure-player,,,,,Informations générales / investigation,
1276,Médiacités Nantes,47.214308,-1.554622,Nantes,https://www.mediacites.fr/nantes/,Pure-player,,,,,Informations générales / investigation,
1277,Médiacités Toulouse,43.60384,1.419483,Toulouse,https://www.mediacites.fr/toulouse/,Pure-player,,,,,Informations générales / investigation,
1278,Mediacoop,45.74868,3.025555,Royat,https://www.mediacoop.fr/,Pure-player,,,,,,
1279,Medialot,44.470019,1.430217,Cahors,https://medialot.fr/,Pure-player,,,Lot,,,
1280,Metropolitain,43.582575,3.934403,Pérols,https://e-metropolitain.fr/,Pure-player,,,,,Informations générales,
1281,MIP (Made in Perpignan),42.691,2.898403,Perpignan,https://madeinperpignan.com/,Pure-player,,,Perpignan,,Informations générales,
1282,MO-TV (Marennes Oléron TV),45.822291,-1.107905,Marennes,https://www.mo-tv.fr/,Pure-player,,,,,,
1284,Montélimar News,44.547862,4.751186,Montélimar,https://www.montelimar-news.fr/,Pure-player,,,,,Informations générales,
1285,Montpellier City Crunch,43.614024,3.878521,Montpellier,https://montpellier.citycrunch.fr/,Pure-player,,,Montpellier,,"Culture, Loisirs",Groupe UNAGI
1286,Mpt-woippy.tv,49.148015,6.159167,Woippy,https://mpt-woippy.tv/,Pure-player,,,,,,
1287,My Little Lyon,45.758961,4.831437,Lyon,https://www.mylittlelyon.com/,Pure-player,,,Lyon,,,SAS MY LITTLE PARIS
1288,My Little Marseille,43.294707,5.378715,Marseille,https://www.mylittlemarseille.com/,Pure-player,,,Marseille,,,SAS MY LITTLE PARIS
1289,My Little Paris,48.883345,2.347982,Paris,https://www.mylittleparis.com/,Pure-player,,,Paris,,,SAS MY LITTLE PARIS
1290,Le Trois,47.734329,6.781459,Auxelles-Bas,https://letrois.info/,Pure-player,,,,,,
1291,Noise - Le bruit de la Ville,48.851844,2.391963,Paris,https://www.noise-laville.fr,Pure-player,,2011,ile-de-France,,Informations générales,
1292,Numéro Zéro,45.433335,4.388998,Saint-Étienne,https://lenumerozero.lautre.net/,Pure-player,,,Saint-Etienne,,Info militante,
1293,Oufipo,48.393308,-4.47178,Brest,https://oufipo.org/,Pure-player,,,,,,
1294,Paris Est Village,48.883664,2.397897,Paris,https://www.paris-est-villages.com,Pure-player,,2010,"Grand est parisien (Paris 10,11,12,19,20 et Montreuil, Bagnolet, Pantin, Les Lilas, les Pré-Saint-Gervais, Vincenne, Saint-Mandé",,"Culture, Loisirs",
1295,Paris Luttes Info,48.8589,2.3469,Paris,https://paris-luttes.info/,Pure-player,,,Paris et banlieue,,Info militante,
1296,Parlem TV,43.758269,-0.031297,Nogaro,https://parlemtv.fr/,Pure-player,,2014,Nogaro,,,
1297,Place Gre'Net,45.187466,5.719124,Grenoble,https://www.placegrenet.fr/,Pure-player,,,,,,
1299,Pokaa,48.58881,7.766319,Strasbourg,https://pokaa.fr/,Pure-player,,,Strasbourg,,"Culture, Loisirs",
1300,Pour info à Orléans,47.901977,1.903836,Orléans,https://piao.fr,Pure-player,,,Orléans,,,
1301,Presse Lib',43.308819,-0.37259,Pau,https://presselib.com,Pure-player,,,"Béarn, Pays Basque, Bigorre, Landes, Gers",,,
1302,Quintessence Magazine,50.664991,3.133922,Wasquehal,https://quintessence-magazine.com/fr/,Pure-player,,2017,Hauts de France,,"Culture, Loisirs",
1303,Quoi faire à Bordeaux,44.862605,-0.570359,Bordeaux,https://quoifaireabordeaux.com/,Pure-player,,,Bordeaux,,"Culture, Loisirs",
1304,Radio Kultura,43.383986,-1.305487,Hasparren,https://www.radiokultura.eus/,Pure-player,,,Pays basque français,,,
1305,Radio Tou’Caen (Radio Caen Métropole Normandie),49.206304,-0.368344,Caen,https://radio-toucaen.fr/,Pure-player,,,Caen Métropole,,,
1306,RadioPeka,5.142425,-52.71313,Kourou,https://www.radiopeka.com/,Pure-player,,,,,,
1307,Real TV 66,42.704593,2.881675,Perpignan,https://realtv66new.weebly.com,Pure-player,,2011,"Perpignan (quartier Saint-Jacques, Saint-Matthieu, La Réal)",,Informations générales,
1308,Rebellyon.info,45.7609,4.8333,Lyon,https://rebellyon.info/,Pure-player,,,Lyon,,Info militante,
1309,Regard Actu,46.263569,2.69226,Durdat-Larequille,https://regardactu.com ,Pure-player,,,,,,
1311,Reims Good News,49.262571,4.025514,Reims,https://www.facebook.com/ReimsGoodNews/,Pure-player,,2014,Reims,,"Culture, Loisirs",
1312,Reims Medias Libres,49.267971,4.023524,Reims,https://reimsmediaslibres.info/,Pure-player,,,Agglo de Reims,,Info militante,
1313,Rennes 24,48.107844,-1.624632,Rennes,https://rennes24.info,Pure-player,,2013,Agglo de Rennes,,Informations générales,
1314,Résonance sonore,43.606409,1.442531,Toulouse,https://resonance-sonore.fr/,Pure-player,,,Toulouse,,,
1315,Résonance sonore,43.597307,1.402097,Toulouse,https://resonance-sonore.fr,Pure-player,,2013,Toulouse,,Informations générales,
1316,Résonances – le Conflent à nos oreilles,42.617853,2.425558,Prades,https://resonances.xyz/,Pure-player,,2015,,,,
1317,Revin WebTV,49.943445,4.63433,Revin,https://www.revinwebtv.fr/,Pure-player,,,,,,
1318,Revue Far Ouest,44.87556,-0.551692,Bordeaux,https://www.revue-farouest.fr/,Pure-player,,,Aquitaine,,Informations générales,
1319,Reynerie TV,43.571433,1.402809,Toulouse,https://www.reynerietv.com/,Pure-player,,,"Quartier de la Reynerie, à Toulouse",,,
1320,Rézonances TV,45.6485,0.158496,Angoulême,https://www.rezonances-tv.org/,Pure-player,,,,,,
1321,Rhizome,45.66723,0.500255,Montbron,https://rhizome.media,Pure-player,,,,,,
1322,Rombas Télévision,49.252498,6.093275,Rombas,https://www.rombas-television.com/,Pure-player,,,Rombas,,,
1323,Rue89 Bordeaux,44.853534,-0.572048,Bordeaux,https://rue89bordeaux.com/,Pure-player,,,Gironde,,Informations générales,
1324,Rue89 Strasbourg,48.580174,7.733132,Strasbourg,https://www.rue89strasbourg.com/,Pure-player,,,,,Informations générales,
1325,Rue89Lyon,45.735199,4.838024,Lyon,https://www.rue89lyon.fr/,Pure-player,,,,,Informations générales,
1326,Saint Dié info,48.069716,6.831845,Gérardmer,https://saintdieinfo.fr/,Pure-player,,,,,Informations générales,
1327,Saint-Nazaire News,47.269508,-2.219098,Saint-Nazaire,https://www.saintnazairenews.fr/,Pure-player,,,Agglo de Saint-Nazaire,,Informations générales,
1328,Saint-Nazaire TV,47.257094,-2.234769,Saint-Nazaire,https://www.saint-nazaire.tv/,Pure-player,,,Saint-Nazaire,,Informations générales,
1329,Sports Auvergne,45.77898,3.086059,Clermont-Ferrand,https://www.sports-auvergne.fr,Pure-player,,2015,,,,Groupe La Montagne Centre-France
1330,Strada,45.078424,4.089411,Queyrières,https://www.strada-dici.com/,Pure-player,,,Haute-Loire,,,
1331,StrasTV,48.586454,7.768934,Strasbourg,https://www.strastv.com/,Pure-player,,,,,,
1332,Street Press,48.856143,2.417849,Montreuil,https://www.streetpress.com/,Pure-player,,,Île-de-France,,Informations générales,
1333,SudCharente TV,45.397568,0.127431,Montmoreau,https://www.sudcharentetv.fr/,Pure-player,,,,,,
1334,Tchapp,48.54795,7.741022,Strasbourg,https://www.tchapp.alsace/,Pure-player,,,Alsace,,,
1335,Télé Millevaches,45.750261,1.93365,Faux-la-Montagne,https://telemillevaches.net/,Pure-player,,,Plateau de Millevaches,,,
1336,Télé Mouche,43.291417,5.569965,Aubagne,https://telemouche.com/,Pure-player,,2015,Pays d'Aubagne,,Informations générales / investigation,
1337,TéLé Regain,45.292243,3.383506,Brioude,https://tele-regain.fr/,Pure-player,,,,,,
1338,Télédraille,44.035255,4.003222,Tornac,https://teledraille.org/,Pure-player,,2010,Lozère (48),,,
1339,Televilleneuve,46.151626,-1.124833,La Rochelle,https://www.televilleneuve.fr/,Pure-player,,,"Quartiers de Villeneuve-les-Salines et du Petit Marseille, à la Rochelle",,,
1340,Temps Réel 78,48.988915,1.718114,Mantes-la-Jolie,https://tr78.fr,Pure-player,,,Yvelines,,,
1341,THI Journal,49.36513,6.172286,Thionville,https://www.lelierre.org/webtvjeunes/,Pure-player,,,,,,
1342,This is Lyon,45.758556,4.812445,Lyon,https://thisislyon.fr/,Pure-player,,2017,Lyon métropole,,,
