ID,Media,Latitude,Longitude,COMMUNE,Site_web,Support historique,logo,Annee_creation,Aire_couverture,EPCI_couverts,Thematique_principale,Groupe
715,Le trait d'union paysan,43.599193,1.392861,Toulouse,https://www.tup31.com/,Presse,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Logo_du_T%C3%A9l%C3%A9gramme.jpg/800px-Logo_du_T%C3%A9l%C3%A9gramme.jpg,1951,Haute-Garonne,,Agriculture,
716,Le Trégor,48.732316,-3.456565,Lannion,https://www.actu.fr/le-tregor/,Presse,,,,,Informations générales,SIPA Ouest-France
717,Le ventilo,43.296086,5.395918,Marseille,https://www.journalventilo.fr/,Presse,,,Bouches du Rhône,,"Culture, Loisirs",
718,Le vin ligérien,47.416312,0.677945,Tours,https://www.levinligerien.fr,Presse,,,Val de Loire,,Agriculture,
719,Lemon,47.275847,-1.464075,Sainte-Luce-sur-Loire,https://lemonmag.com/,Presse,,,Nantes métropole,,"Culture, loisirs",Andegave Communication
720,Les Affiches de Grenoble et du Dauphiné,45.159662,5.737912,Grenoble,https://www.affiches.fr,Presse,,,,,Informations générales,
721,Les Affiches parisiennes,48.850515,2.296028,Paris,https://www.affiches-parisiennes.com,Presse,,1818,75+92+94+93,,Economie,
722,Les Alpes Mancelles,48.183603,-0.129223,Sillé-le-Guillaume,https://www.actu.fr/les-alpes-mancelles/,Presse,,,,,Informations générales,SIPA Ouest-France
723,Les Antennes,45.18427,5.723358,Grenoble,https://lesantennes.org/lassociation,Presse,,,,,,
724,Les Echos du Touquet,50.485477,1.609227,Cucq,https://www.lesechosdutouquet.fr,Presse,,1957,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
725,Les Informations Dieppoises,49.923497,1.075068,Dieppe,https://www.actu.fr/les-informations-dieppoises/,Presse,,,,,Informations générales,SIPA Ouest-France
726,Les Infos pays de Redon,47.645337,-2.089984,Redon,https://www.infosredon.fr,Presse,,,,,Informations générales,
727,Les Nouvelles,48.80068,2.12607,Versailles,https://actu.fr/78actu/,Presse,,,,,Informations générales,SIPA Ouest-France
728,Les Nouvelles – L'Echo Fléchois,47.83878,-0.328708,Sablé-sur-Sarthe,https://www.actu.fr/les-nouvelles-de-sable/,Presse,,,,,Informations générales,SIPA Ouest-France
729,Les Nouvelles de Falaise,48.896253,-0.196907,Falaise,https://www.actu.fr/les-nouvelles-de-falaise/,Presse,,,,,Informations générales,SIPA Ouest-France
730,Les Nouvelles de Sablé,47.83878,-0.328708,Sablé-sur-Sarthe,https://actu.fr/les-nouvelles-de-sable/,Presse,,,,,Informations générales,SIPA Ouest-France
731,LES PETITES AFFICHES MATOT BRAINE,49.260973,4.034513,Reims,https://www.forumeco.com/journaux/petites-affiches-matot-braine,Presse,,1892 / 1994,"Ardennes, Aube, Marne",,Economie,Groupe Forumeco
732,Les potins d'Angèle,45.76293,4.835316,Lyon,https://www.lespotinsdangele.com/wordpress/,Presse,,2005,Région lyonnaise,,,
733,Les Sables Vendée Journal,46.515016,-1.7656,Olonne-sur-Mer,https://actu.fr/le-journal-des-sables/,Presse,,,,,Informations générales,SIPA Ouest-France
734,Liberté le Bonhomme Libre,49.199971,-0.390819,Caen,https://www.actu.fr/liberte-caen/,Presse,,,,,Informations générales,SIPA Ouest-France
735,Lyon Capitale,45.770321,4.843719,Lyon,https://www.lyoncapitale.fr/,Presse,,1994,Lyon,,Informations générales,Fiducial Médias
736,Lyon Mag,45.740019,4.814633,Lyon,https://www.lyonmag.com/,Presse,,,Lyon et métropole,,,Espace Group
737,Mag2Lyon,45.777512,4.798816,Lyon,https://www.mag2lyon.com,Presse,,,Lyon métropole,,Informations générales,
738,Magma,47.384177,5.044072,Asnières-lès-Dijon,https://www.magma-magazine.fr/,Presse,,,Grand Est,,,
739,Mix,48.593694,7.76119,Strasbourg,https://magazinemix.fr/,Presse,,,Strasbourg,,"Culture, Loisirs",
740,Montceau News,46.666106,4.406103,Gourdon,https://montceau-news.com/,Presse,,,,,,
741,Nantes Révoltée,47.216030,-1.551330,Nantes,https://www.nantes-revoltee.com/,Presse,https://www.nantes-revoltee.com/wp-content/uploads/2019/04/nr-1.png,,Agglo nantaise / NDDL,,Info militante,
742,Nice Matin,43.679174,7.200309,Nice,https://www.nicematin.com/,Presse,,1944,,,Informations générales,Groupe Nice Matin
743,Nord éclair,50.636332,3.063665,Lille,https://www.nordeclair.fr/,Presse,,1944,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
744,Nord Littoral,50.638801,2.397286,Aire-sur-la-Lys,https://www.nordlittoral.fr/,Presse,https://phrnleng.rosselcdn.net/sites/all/themes/enabootstrap_nlhebdos_premium/images/logo_nordlittoral_2020.svg,1944,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
745,Nord Littoral,51.033315,2.372294,Dunkerque,https://www.nordlittoral.fr/,Presse,https://phrnleng.rosselcdn.net/sites/all/themes/enabootstrap_nlhebdos_premium/images/logo_nordlittoral_2020.svg,1944,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
746,Nord Littoral,50.530363,2.637961,Béthune,https://www.nordlittoral.fr/,Presse,https://phrnleng.rosselcdn.net/sites/all/themes/enabootstrap_nlhebdos_premium/images/logo_nordlittoral_2020.svg,1944,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
747,Nord Littoral,50.485477,1.609227,Cucq,https://www.nordlittoral.fr/,Presse,https://phrnleng.rosselcdn.net/sites/all/themes/enabootstrap_nlhebdos_premium/images/logo_nordlittoral_2020.svg,1944,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
748,Nord Littoral,50.716511,2.546093,Hazebrouck,https://www.nordlittoral.fr/,Presse,https://phrnleng.rosselcdn.net/sites/all/themes/enabootstrap_nlhebdos_premium/images/logo_nordlittoral_2020.svg,1944,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
749,Nord Littoral,50.286912,2.773907,Arras,https://www.nordlittoral.fr/,Presse,https://phrnleng.rosselcdn.net/sites/all/themes/enabootstrap_nlhebdos_premium/images/logo_nordlittoral_2020.svg,1944,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
750,Nord Littoral,50.951247,1.853677,Calais,https://www.nordlittoral.fr/,Presse,https://phrnleng.rosselcdn.net/sites/all/themes/enabootstrap_nlhebdos_premium/images/logo_nordlittoral_2020.svg,1944,,,Informations générales,Groupe La Voix (Filiale du Groupe Rossel)
751,Nouveau journal du Pays de Fayence,43.617729,6.765166,Montauroux,https://www.nouveau-journal.org/,Presse,,,Canton du Pays de Fayence,,Informations générales,
752,Ouest France,48.304282,-0.618231,Mayenne,https://www.ouest-france.fr,Presse,https://www.ouest-france.fr/sites/all/themes/front/images/logos/logo-of-1200x630.png,1944,,,Informations générales,SIPA Ouest-France
753,Ouest France,47.2861,-2.210464,Saint-Nazaire,https://www.ouest-france.fr,Presse,https://www.ouest-france.fr/sites/all/themes/front/images/logos/logo-of-1200x630.png,1944,,,Informations générales,SIPA Ouest-France
754,Ouest France,47.93271,-2.401093,Ploërmel,https://www.ouest-france.fr,Presse,https://www.ouest-france.fr/sites/all/themes/front/images/logos/logo-of-1200x630.png,1944,,,Informations générales,SIPA Ouest-France
755,Ouest France,48.779888,-3.042613,Paimpol,https://www.ouest-france.fr,Presse,https://www.ouest-france.fr/sites/all/themes/front/images/logos/logo-of-1200x630.png,1944,,,Informations générales,SIPA Ouest-France
756,Ouest France,48.732413,-3.46196,Lannion,https://www.ouest-france.fr,Presse,https://www.ouest-france.fr/sites/all/themes/front/images/logos/logo-of-1200x630.png,1944,,,Informations générales,SIPA Ouest-France
757,Ouest France,47.870132,-3.917252,Concarneau,https://www.ouest-france.fr,Presse,https://www.ouest-france.fr/sites/all/themes/front/images/logos/logo-of-1200x630.png,1944,,,Informations générales,SIPA Ouest-France
758,Ouest France,48.095143,-1.629299,Rennes,https://www.ouest-france.fr,Presse,https://www.ouest-france.fr/sites/all/themes/front/images/logos/logo-of-1200x630.png,1944,,,Informations générales,SIPA Ouest-France
759,Ouest France,48.2759,-3.57367,Carhaix-Plouguer,https://www.ouest-france.fr,Presse,https://www.ouest-france.fr/sites/all/themes/front/images/logos/logo-of-1200x630.png,1944,,,Informations générales,SIPA Ouest-France
760,Ouest France,47.840978,-0.334219,Sablé-sur-Sarthe,https://www.ouest-france.fr,Presse,https://www.ouest-france.fr/sites/all/themes/front/images/logos/logo-of-1200x630.png,1944,,,Informations générales,SIPA Ouest-France
